,station,date,prcp,tobs,nulls
0,USC00519397,2010-01-01,0.08,65,False
1,USC00519397,2010-01-02,0.0,63,False
2,USC00519397,2010-01-03,0.0,74,False
3,USC00519397,2010-01-04,0.0,76,False
4,USC00519397,2010-01-06,0.03,73,True
5,USC00519397,2010-01-07,0.06,70,False
6,USC00519397,2010-01-08,0.0,64,False
7,USC00519397,2010-01-09,0.0,68,False
8,USC00519397,2010-01-10,0.0,73,False
9,USC00519397,2010-01-11,0.01,64,False
10,USC00519397,2010-01-12,0.0,61,False
11,USC00519397,2010-01-14,0.0,66,False
12,USC00519397,2010-01-15,0.0,65,False
13,USC00519397,2010-01-16,0.0,68,False
14,USC00519397,2010-01-17,0.0,64,False
15,USC00519397,2010-01-18,0.0,72,False
16,USC00519397,2010-01-19,0.0,66,False
17,USC00519397,2010-01-20,0.0,66,False
18,USC00519397,2010-01-21,0.0,69,False
19,USC00519397,2010-01-22,0.0,67,False
20,USC00519397,2010-01-23,0.0,67,False
21,USC00519397,2010-01-24,0.01,71,False
22,USC00519397,2010-01-25,0.0,67,False
23,USC00519397,2010-01-26,0.04,76,False
24,USC00519397,2010-01-27,0.12,68,False
25,USC00519397,2010-01-28,0.0,72,False
26,USC00519397,2010-01-30,0.015,70,True
27,USC00519397,2010-01-31,0.03,67,False
28,USC00519397,2010-02-01,0.01,66,False
29,USC00519397,2010-02-03,0.01,67,True
30,USC00519397,2010-02-04,0.01,69,False
31,USC00519397,2010-02-05,0.0,67,False
32,USC00519397,2010-02-06,0.0,67,False
33,USC00519397,2010-02-07,0.0,64,False
34,USC00519397,2010-02-08,0.0,69,False
35,USC00519397,2010-02-09,0.0,73,False
36,USC00519397,2010-02-11,0.0,73,False
37,USC00519397,2010-02-12,0.02,69,False
38,USC00519397,2010-02-13,0.01,69,False
39,USC00519397,2010-02-14,0.0,69,False
40,USC00519397,2010-02-15,0.0,71,False
41,USC00519397,2010-02-16,0.0,61,False
42,USC00519397,2010-02-17,0.0,69,False
43,USC00519397,2010-02-19,0.015,63,True
44,USC00519397,2010-02-20,0.03,64,False
45,USC00519397,2010-02-21,0.0,65,False
46,USC00519397,2010-02-22,0.0,67,False
47,USC00519397,2010-02-23,0.0,68,False
48,USC00519397,2010-02-24,0.0,65,False
49,USC00519397,2010-02-25,0.0,76,False
50,USC00519397,2010-02-26,0.0,75,False
51,USC00519397,2010-02-28,0.0,66,False
52,USC00519397,2010-03-01,0.01,70,False
53,USC00519397,2010-03-02,0.0,72,False
54,USC00519397,2010-03-03,0.0,73,False
55,USC00519397,2010-03-04,0.12,70,False
56,USC00519397,2010-03-05,0.08,71,False
57,USC00519397,2010-03-06,0.03,72,False
58,USC00519397,2010-03-07,0.0,72,False
59,USC00519397,2010-03-08,0.43,69,False
60,USC00519397,2010-03-09,0.06,70,False
61,USC00519397,2010-03-11,0.03,73,True
62,USC00519397,2010-03-12,0.0,72,False
63,USC00519397,2010-03-13,0.0,73,False
64,USC00519397,2010-03-14,0.0,70,False
65,USC00519397,2010-03-15,0.06,71,False
66,USC00519397,2010-03-17,0.0,68,False
67,USC00519397,2010-03-18,0.0,70,False
68,USC00519397,2010-03-21,0.0,72,False
69,USC00519397,2010-03-22,0.0,69,False
70,USC00519397,2010-03-23,0.0,68,False
71,USC00519397,2010-03-24,0.0,74,False
72,USC00519397,2010-03-26,0.0,72,True
73,USC00519397,2010-03-27,0.0,72,False
74,USC00519397,2010-03-28,0.0,73,False
